발생날짜,조사해역,원인생물,생물밀도(max),생물밀도(min),수온(max),수온(min),속보코드
20180726,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,320,10,28.2,28.2,20180726-001
20180726,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,890,20,28.2,28.2,20180726-001
20180726,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,5,1,28.2,28.2,20180726-001
20180726,"전남 여수시 남면 우학리, 대유, 함구미, 용두, 화태, 월호수도, 돌산 두문포, 향일암, 군내 서외 밖",Cochlodinium polykrikoides,320,10,30.2,25.9,20180726-001
20180726,"전남 여수시 남면 우학리, 대유, 함구미, 용두, 화태, 월호수도, 돌산 두문포, 향일암, 군내 서외 밖",Cochlodinium polykrikoides,890,20,30.2,25.9,20180726-001
20180726,"전남 여수시 남면 우학리, 대유, 함구미, 용두, 화태, 월호수도, 돌산 두문포, 향일암, 군내 서외 밖",Cochlodinium polykrikoides,5,1,30.2,25.9,20180726-001
20180726,"남해군 서면 장항, 미조면 본촌 ",Cochlodinium polykrikoides,320,10,27.5,24.5,20180726-001
20180726,"남해군 서면 장항, 미조면 본촌 ",Cochlodinium polykrikoides,890,20,27.5,24.5,20180726-001
20180726,"남해군 서면 장항, 미조면 본촌 ",Cochlodinium polykrikoides,5,1,27.5,24.5,20180726-001
20180725,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,650,100,29.1,29.1,20180725-006
20180725,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,860,50,29.1,29.1,20180725-006
20180725,전남 고흥군 영남면 남열리,Cochlodinium polykrikoides,70,40,29.1,29.1,20180725-006
20180725,"전남 여수시 화정면, 함구미, 화태, 대유, 상동",Cochlodinium polykrikoides,650,100,28.6,25.6,20180725-006
20180725,"전남 여수시 화정면, 함구미, 화태, 대유, 상동",Cochlodinium polykrikoides,860,50,28.6,25.6,20180725-006
20180725,"전남 여수시 화정면, 함구미, 화태, 대유, 상동",Cochlodinium polykrikoides,70,40,28.6,25.6,20180725-006
